,regio1,newlyConst,balcony,totalRent,yearConstructed,noParkSpaces,hasKitchen,cellar,houseNumber,livingSpace,geo_krs,condition,interiorQual,petsAllowed,street,streetPlain,lift,typeOfFlat,noRooms,floor,numberOfFloors,garden,regio2,ID,Tipologia_Affitti,Tipologia_Propieta
14,Nordrhein_Westfalen,True,True,1320.65,2018.0,1.0,False,True,4,87.0,Dortmund,first_time_use,sophisticated,negotiable,Am Dimberg,Am_Dimberg,True,ground_floor,3.0,0.0,4.0,False,Dortmund,1,costoso,trilocale
73,Nordrhein_Westfalen,False,False,465.0,1950.0,0.0,False,True,74,55.64,Wuppertal,well_kept,normal,negotiable,Cronenberger Stra&szlig;e,Cronenberger_Straße,False,apartment,2.0,1.0,5.0,True,Wuppertal,2,economico,bilocale
99,Nordrhein_Westfalen,False,False,930.0,1905.0,0.0,False,True,22,103.0,Mülheim_an_der_Ruhr,well_kept,sophisticated,negotiable,Wilhelmstr.,Wilhelmstr._,False,maisonette,3.0,3.0,3.0,False,Mülheim_an_der_Ruhr,3,medio,
130,Nordrhein_Westfalen,True,True,1212.0,2018.0,1.0,False,False,28,111.55,Bielefeld,mint_condition,sophisticated,no,Huberstr.,Huberstr.,True,roof_storey,2.5,4.0,4.0,False,Bielefeld,4,costoso,
177,Nordrhein_Westfalen,True,True,940.0,2020.0,1.0,False,True,123,74.5,Paderborn_Kreis,first_time_use,sophisticated,no,Kilian Strasse,Kilian_Strasse,True,apartment,3.0,2.0,3.0,False,Paderborn_Kreis,5,medio,trilocale
237,Nordrhein_Westfalen,False,True,586.0,2016.0,1.0,True,True,64,83.0,Wesel_Kreis,need_of_renovation,normal,no,Julius-Leber-Str.,Julius-Leber-Str.,False,apartment,3.0,1.0,2.0,True,Wesel_Kreis,6,economico,trilocale
323,Nordrhein_Westfalen,False,True,930.0,2012.0,1.0,True,True,25,65.0,Neuss_Rhein_Kreis,refurbished,luxury,negotiable,Klosterstra&szlig;e,Klosterstraße,False,maisonette,2.5,1.0,3.0,False,Neuss_Rhein_Kreis,7,medio,
399,Nordrhein_Westfalen,False,True,620.0,2000.0,1.0,False,False,51 d,62.0,Unna_Kreis,well_kept,sophisticated,negotiable,Im Kamp,Im_Kamp,False,apartment,2.5,0.0,2.0,False,Unna_Kreis,8,medio,
446,Nordrhein_Westfalen,True,True,700.0,2017.0,1.0,False,True,123,42.4,Bonn,mint_condition,sophisticated,no,K&ouml;nigswinterer Stra&szlig;e,Königswinterer_Straße,True,other,2.0,1.0,2.0,False,Bonn,9,economico,
455,Nordrhein_Westfalen,False,False,720.0,1900.0,1.0,False,True,26,81.0,Ennepe_Ruhr_Kreis,negotiable,normal,no,Elberfelder Str.,Elberfelder_Str._,False,apartment,3.0,2.0,3.0,False,Ennepe_Ruhr_Kreis,10,medio,trilocale
466,Nordrhein_Westfalen,False,True,640.0,1998.0,1.0,False,True,13,79.0,Gelsenkirchen,well_kept,normal,negotiable,Schievenstr.,Schievenstr.,False,roof_storey,2.5,3.0,3.0,False,Gelsenkirchen,11,medio,
503,Nordrhein_Westfalen,False,True,625.0,1997.0,1.0,False,False,3,67.15,Bielefeld,fully_renovated,normal,negotiable,Epiphanienweg,Epiphanienweg,False,apartment,2.0,1.0,2.0,False,Bielefeld,12,economico,bilocale
650,Nordrhein_Westfalen,False,True,708.0,1999.0,1.0,False,True,111,63.62,Duisburg,well_kept,sophisticated,negotiable,Friedenstra&szlig;e,Friedenstraße,False,penthouse,2.0,4.0,4.0,False,Duisburg,13,medio,bilocale
666,Nordrhein_Westfalen,False,True,1350.0,2016.0,1.0,False,True,28,115.0,Wuppertal,mint_condition,sophisticated,no,Linderhauser Stra&szlig;e,Linderhauser_Straße,True,apartment,4.0,1.0,2.0,False,Wuppertal,14,costoso,
706,Nordrhein_Westfalen,False,False,540.81,1902.0,1.0,False,True,19,81.8,Recklinghausen_Kreis,well_kept,normal,negotiable,Schulstra&szlig;e,Schulstraße,False,roof_storey,3.0,2.0,2.0,True,Recklinghausen_Kreis,15,economico,trilocale
708,Nordrhein_Westfalen,True,True,730.0,2019.0,1.0,False,False,5,86.0,Unna_Kreis,first_time_use,normal,no,Josef-Mersmann-Weg,Josef-Mersmann-Weg,False,roof_storey,3.5,1.0,1.0,False,Unna_Kreis,16,medio,
750,Nordrhein_Westfalen,False,True,660.0,1994.0,1.0,False,True,129,83.74,Essen,mint_condition,normal,negotiable,Wilhelm-Nieswandt-Allee,Wilhelm-Nieswandt-Allee,False,roof_storey,3.0,3.0,3.0,True,Essen,17,economico,trilocale
753,Nordrhein_Westfalen,False,False,545.0,1985.0,1.0,True,False,105 + 107,16.0,Düsseldorf,first_time_use_after_refurbishment,luxury,no,Merowingerstra&szlig;e,Merowingerstraße,True,apartment,1.0,1.0,6.0,False,Düsseldorf,18,economico,monolocale
792,Nordrhein_Westfalen,False,False,594.0,1972.0,25.0,False,True,43,66.0,Essen,well_kept,normal,no,Viehoferstr.,Viehoferstr.,True,apartment,2.5,2.0,5.0,False,Essen,19,economico,
1055,Nordrhein_Westfalen,False,True,695.0,1994.0,1.0,False,True,7-9,56.0,Aachen,fully_renovated,normal,no,Rolandstra&szlig;e,Rolandstraße,False,apartment,2.0,2.0,3.0,False,Aachen,20,economico,bilocale
1072,Nordrhein_Westfalen,False,True,590.0,1998.0,1.0,False,True,10,53.0,Rhein_Sieg_Kreis,well_kept,normal,negotiable,Bannweg,Bannweg,False,apartment,2.0,2.0,2.0,False,Rhein_Sieg_Kreis,21,economico,bilocale
1112,Nordrhein_Westfalen,False,True,606.0,1959.0,1.0,False,True,32,62.03,Krefeld,well_kept,normal,negotiable,Am Neuerhof,Am_Neuerhof,False,roof_storey,2.0,3.0,3.0,False,Krefeld,22,economico,bilocale
